330,26475
653,107091
54,947
799,169970
640,106166
107,3111
614,96956
622,92636
784,158729
482,63634
692,118952
203,11258
821,171819
348,31308
832,174168
571,91427
842,167795
85,2205
223,13317
100,2731
492,60539
375,37752
488,64444
809,159558
861,184874
423,45581
512,75220
124,4437
883,199120
931,210379
127,4461
443,49854
403,43914
271,19532
421,50229
769,147212
689,124085
221,15141
365,31006
971,240843
984,234346
673,109760
566,81836
754,146884
282,21571
654,113064
715,133348
811,171266
256,17043
594,88156
994,242306
395,40997
298,23533
493,69397
44,594
87,2462
320,26199
955,232038
346,31433
458,57672
379,38093
301,24380
131,5254
714,132391
801,160046
501,67330
490,62658
745,145420
638,103549
349,29527
175,8566
413,46132
478,62326
614,94871
672,116412
608,92153
71,1504
497,59051
745,140015
243,16026
509,68622
607,93783
857,184302
402,45176
976,240840
246,15927
454,58303
201,10979
963,244383
959,232347
704,125096
471,56991
380,41478
882,202176
415,46373
394,38250
520,72924
100,2743
428,45865
153,5757
