330,239
103,73
589,505
64,36
920,538
53,32
653,601
533,421
933,552
288,162
837,456
976,594
243,134
426,263
243,134
143,101
353,263
828,448
58,33
482,347
617,547
267,136
812,432
127,97
358,269
679,638
932,552
836,456
312,198
737,727
62,35
790,409
165,83
881,502
593,511
101,68
544,434
863,481
836,456
428,264
982,601
534,421
510,385
34,19
633,571
549,445
792,410
443,288
854,473
980,600
512,386
793,414
157,116
349,257
413,241
686,649
415,242
619,552
923,543
177,101
337,239
649,595
795,415
292,172
277,149
364,280
560,458
569,475
419,252
594,515
615,542
252,146
469,325
431,266
738,731
895,513
546,443
253,147
850,471
330,231
693,661
512,386
920,538
545,439
92,52
703,674
884,504
957,576
214,134
551,446
573,481
544,434
852,472
971,591
324,220
878,497
118,89
130,103
410,239
248,136
