330,13890
103,1534
589,46363
64,552
920,105253
53,429
653,51688
533,35520
933,103123
288,10783
837,88915
976,117671
243,7633
426,23545
243,7417
143,2922
353,14237
828,77590
58,457
482,28305
617,46604
267,8950
812,84992
127,1672
358,18261
679,56834
932,103197
836,89031
312,12152
737,72553
62,521
790,81546
165,3425
881,95807
593,44736
101,1307
544,36713
863,94647
836,86829
428,24607
982,116913
534,35550
510,32522
34,157
633,48340
549,39085
792,77733
443,26104
854,94675
980,118672
512,33666
793,82938
157,2788
349,16176
413,21283
686,60505
415,20944
619,48894
923,112482
177,3935
337,15431
649,55075
795,86315
292,11524
277,9475
364,16225
560,38273
569,41635
419,22363
594,47545
615,49802
252,8878
469,28627
431,25250
738,72650
895,94714
546,37889
253,8604
850,100908
330,13530
693,57129
512,34173
920,101249
545,37397
92,1125
703,66526
884,103284
957,116990
214,6531
551,39602
573,40884
544,34738
852,98031
971,119516
324,14903
878,101243
118,2018
130,2313
410,21438
248,7571
